    1.0000   4.04640198e-01    0.73
    1.3333   2.04086304e-01    0.37
    1.6667   5.80596924e-02    0.11
    2.0000  -4.91409302e-02   -0.09
    2.3333  -1.20998383e-01   -0.22
    2.6667  -1.49936676e-01   -0.27
    3.0000  -1.83586121e-01   -0.33
    3.3333  -1.90189362e-01   -0.35
    3.6667  -1.84162140e-01   -0.34
    4.0000  -1.68678284e-01   -0.31
    4.3333  -1.49635315e-01   -0.27
    4.6667  -1.36737823e-01   -0.25
    5.0000  -1.21150970e-01   -0.22
    5.3333  -1.03946686e-01   -0.19
    5.6667  -8.98666382e-02   -0.16
    6.0000  -7.91130066e-02   -0.15
    6.3333  -5.88264465e-02   -0.11
    6.6667  -4.28123474e-02   -0.08
    7.0000  -2.53295898e-02   -0.05
    7.3333   2.44903564e-03    0.00
    7.6667   4.04815674e-02    0.07
    8.0000   7.30285645e-02    0.13
    8.3333   9.30442810e-02    0.17
    8.6667   1.03248596e-01    0.19
    9.0000   1.18091583e-01    0.22
    9.3333   1.18236542e-01    0.22
    9.6667   1.08776093e-01    0.20
   10.0000   8.09288025e-02    0.15
   10.3333   2.31666565e-02    0.04
   10.6667   1.15661621e-02    0.02
   11.0000   3.33900452e-02    0.06
   11.3333   3.40156555e-02    0.06
   11.6667   6.69097900e-02    0.12
   12.0000   1.18259430e-01    0.22
   12.3333   1.60694122e-01    0.30
   12.6667   1.61106110e-01    0.30
   13.0000   1.00395203e-01    0.19
   13.3333  -3.27568054e-02   -0.06
   13.6667  -2.22408295e-01   -0.41
   14.0000  -2.82833099e-01   -0.53
